question,answer
what are the symptoms of lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures"
what is angina pectoris?,Angina pectoris is a condition that causes chest pain or discomfort. It occurs when the heart muscle doesn't get enough blood and oxygen due to narrowed or blocked coronary arteries.
what are the symptoms of pneumococcal disease?,"Fever, Cough, Chest pain, Shortness of breath, Stiff neck, Headache"
what are the symptoms of acne?,"Blackheads, Whiteheads, Pimples, Cysts, Nodules"
what are the treatments for spondylitis?,"Exercise, Medications, Surgery"
what are the treatments for dementia?,"Medications to treat cognitive symptoms, Antidepressants, Antipsychotics, Occupational therapy, Speech therapy"
what are the treatments for crohn's disease?,"Anti-inflammatory drugs, Immune system suppressors, Antibiotics, Nutrition therapy, Surgery"
what are the treatments for sarcoidosis?,"Corticosteroids, Immunosuppressive medications, Biologic agents"
what are the treatments for gout?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Colchicine, Urate-lowering therapy"
what are the symptoms of chronic obstructive pulmonary disease?,"Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Frequent respiratory infections, Lack of energy, Unintended weight loss"
what are the symptoms of rift valley fever?,"Fever, Headache, Muscle pain, Fatigue"
what are the symptoms of nasal polyps?,"Stuffy or runny nose, Postnasal drip, Decreased sense of smell, Facial pain or pressure, Snoring"
what are the treatments for trachoma?,"Antibiotics (such as azithromycin and tetracycline), Surgery (in severe cases), Facial cleanliness and environmental improvements (to prevent transmission)"
what are the symptoms of restless legs syndrome (rls)?,"Uncontrollable urge to move legs, Tingling or crawling sensations in legs, Difficulty sleeping"
what are the treatments for lymphoma?,"Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy"
what are the treatments for norovirus infection?,"Rest and fluids, Anti-nausea medication, Rehydration therapy"
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what are the treatments for rheumatic fever?,"Antibiotics, Anti-inflammatory medication, Bed rest"
what are the symptoms of sleep apnea?,"Loud snoring, Episodes of breathing cessation during sleep witnessed by another person, Gasping or choking during sleep, Excessive daytime sleepiness, Difficulty concentrating, Morning headaches, Irritability"
what is molluscum contagiosum?,"Molluscum contagiosum is a viral infection that causes small, raised, pearl-like bumps on the skin. It is spread through skin-to-skin contact and contact with contaminated objects."
what are the symptoms of cirrhosis of the liver?,"Fatigue, Weakness, Loss of appetite, Nausea and vomiting, Abdominal pain and swelling, Jaundice, Itchy skin, Easy bruising and bleeding, Spider-like blood vessels on the skin"
what are the treatments for cervical cancer?,"Surgery (e.g., hysterectomy, removal of lymph nodes), Radiation therapy, Chemotherapy, Targeted therapy"
what are the symptoms of infectious mononucleosis?,"Fatigue, Fever, Sore throat, Swollen lymph nodes, Headache, Muscle aches, Rash"
what are the treatments for fibromyalgia?,"Pain relievers such as acetaminophen, NSAIDs, or opioids, Antidepressants, Anticonvulsants, Physical therapy, Counseling"
what are the treatments for sleep apnea?,"Continuous Positive Airway Pressure (CPAP) therapy, Oral appliances, Surgery, Lifestyle changes (e.g. weight loss, quitting smoking, avoiding alcohol and sedatives)"
what are the symptoms of systemic lupus erythematosus?,"Fatigue, Fever, Joint pain, Skin rashes, Chest pain, Shortness of breath, Headaches, Confusion, Memory loss"
what are the treatments for non-hodgkin's lymphoma?,"Chemotherapy, Radiation therapy, Immunotherapy, Stem cell transplant, Targeted therapy"
what are the treatments for psoriasis?,"Topical creams and ointments, Light therapy, Oral medications"
what are the treatments for cryptococcosis?,"Antifungal medications, Amphotericin B, Flucytosine, Fluconazole"
what are the treatments for thanks?,"You're welcome! It was my pleasure to help., No problem! Glad I could be of assistance., You're welcome! Let me know if you need help with anything else."
what are the symptoms of cystic fibrosis?,"Persistent cough with thick mucus, Wheezing or shortness of breath, Poor growth or weight gain, Frequent respiratory infections, Salty-tasting skin, Difficulty with bowel movements"
what are the treatments for alzheimer's disease?,"Medications, Non-drug treatments (e.g., cognitive stimulation therapy), Supportive therapies, Clinical trials"
what are the symptoms of hepatitis c?,"Fever, Fatigue, Joint pain, Muscle pain, Loss of appetite, Nausea, Vomiting, Abdominal pain, Dark urine, Jaundice"
what are the symptoms of acne?,"Blackheads, Whiteheads, Pimples, Cysts, Nodules"
what is celiac disease?,"Celiac disease is an autoimmune disorder in which the body's immune system attacks the small intestine when gluten is ingested, leading to damage and malabsorption of nutrients."
what are the symptoms of escherichia coli o157:h7 infection?,"Abdominal pain and cramping, Diarrhea, often bloody, Nausea and vomiting, Dehydration, Fever, Fatigue"
what are the treatments for polycystic kidney disease?,"Blood pressure medications to control high blood pressure, Antibiotics to treat infections, Surgery to remove large cysts or to transplant a new kidney, Dialysis to remove waste from the blood if kidneys fail"
what are the symptoms of paget's disease of bone?,"Bone pain, Joint pain, Headaches, Hearing loss, Numbness or tingling, Enlarged bones, Bone deformities"
what are the treatments for acne?,"Topical creams and gels containing benzoyl peroxide or retinoids, Oral medications such as antibiotics or isotretinoin, Chemical peels, Laser and light therapies"
what are the symptoms of lou gehrig's disease?,"Muscle weakness in hands, arms, legs or feet, Difficulty speaking, swallowing, or breathing, Muscle cramps and twitching"
what are the symptoms of mitral valve regurgitation?,"Shortness of breath, Fatigue, Heart palpitations, Swelling in the legs or feet, Coughing up blood"
what are the symptoms of sinusitis?,"Facial pain, Pressure in the face, Congestion, Nasal discharge, Cough, Headache"
what are the symptoms of hemorrhoids?,"Bleeding, Pain or discomfort, Itching"
what are the symptoms of bipolar disorder?,"Mood swings, Mania (extreme high), Depression (extreme low), Fatigue, Insomnia, Irritability, Difficulty concentrating, Impaired judgment, Risk-taking behavior"
what are the symptoms of sinusitis?,"Facial pain, Pressure in the face, Congestion, Nasal discharge, Cough, Headache"
what are the symptoms of hiatal hernia?,"Heartburn, Acid reflux, Difficulty swallowing, Chest or abdominal pain, Shortness of breath"
what are the treatments for liver cancer?,"Surgery to remove the cancer, Chemotherapy, Liver transplant"
what are the symptoms of mycoplasma pneumonia?,"Fever, Cough, Sore throat, Headache, Fatigue, Muscle aches, Shortness of breath"
what are the treatments for down syndrome?,"Early intervention and special education, Speech and physical therapy, Treatment of associated health issues"
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the symptoms of scarlet fever?,"Fever, Sore throat, Bright red rash (usually on the chest, stomach, and limbs), Reddening of the tongue (known as ""strawberry tongue""), Headache, Nausea, Vomiting"
what are the symptoms of staphylococcal scalded skin syndrome?,"Fever, Redness of the skin, Blisters on the skin, Skin peeling"
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the treatments for insomnia?,"Improving sleep habits, Medications, Cognitive behavioral therapy"
what are the treatments for neonatal tetanus?,"Antibiotics, Tetanus immunoglobulin, Supportive care"
what are the treatments for hypothyroidism?,Levothyroxine (thyroid hormone replacement therapy)
what are the symptoms of peripheral neuropathy?,"Tingling, burning or prickling sensations in the affected area, Sharp, stabbing or shooting pain, Extreme sensitivity to touch, Lack of coordination and falling, Muscle weakness or paralysis if motor nerves are affected, Partial or complete loss of sensation if sensory nerves are affected, Bowel or bladder dysfunction if autonomic nerves are affected, Changes in blood pressure and sweating"
what are the symptoms of syphilis?,"Painless sore or ulcer, Rash on the palms of the hands and soles of the feet, Fever, Fatigue"
what are the symptoms of necrotizing fasciitis?,"Intense pain, Swelling, Redness, Fever, Nausea and vomiting, Fatigue, Ulcers or blisters, Blackened or dead skin"
what are the symptoms of botulism?,"Double vision, Blurred vision, Drooping eyelids, Slurred speech, Difficulty swallowing, Dry mouth, Muscle weakness, Paralysis, Respiratory failure"
what are the treatments for coccidioidomycosis?,"Antifungal medications, Rest, Pain relievers"
what are the treatments for nasal polyps?,"Nasal corticosteroids, Nasal sprays, Antihistamines, Surgery"
what are the treatments for irritable bowel syndrome?,"Dietary changes, Fiber supplements, Medications to control bowel movements"
what are the symptoms of aortic valve regurgitation?,"Shortness of breath, Fatigue, Swollen ankles or feet"
what are the treatments for anal fissure?,"Stool softeners, Topical analgesics, Surgery in severe cases"
what are the treatments for tetanus?,"Antitoxin medication, Muscle relaxants, Pain relief medication"
what are the treatments for skin cancer?,"Surgery, Radiation therapy, Chemotherapy, Immunotherapy"
what are the symptoms of filariasis?,"Swelling of the limbs, genitalia, or breasts, Fever, Chills, Muscle and joint pain, Fatigue, Skin rash, Lymphedema"
what are the symptoms of about_you?,"who are you, what are you, tell me about yourself, what can you do, help, need help, can you help me"
what are the symptoms of lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures"
